id,cat,type,diff,q,ctx,unit,tolerance,accept,choice1,choice2,choice3,choice4,correct,explain,cite
T01,terms,choice,1,EOSコーポレーションには２種類の会員種別があります。EOS(ビジネス）会員とUC(ユーザクラブ）会員。最初は皆さんUC（ユーザークラブ）会員に登録する必要があります。UC（ユーザークラブ）会員について誤っている文章を選択してください,,,,,UC(ユーザークラブ）会員は定価6480円のJWティーを通販価格5400円で購入することができる,登録条件は、紹介者がいること・満20歳以上の個人であること・日本国内在住であること,紹介者を出すには、ステップアップし、EOS（ビジネス）会員になる必要がある,UC会員は年会費更新費は無料で、購入がなくても、一生涯ポジションを維持される。,2,<b>UC(ユーザクラブ）会員</b> は商品をお得な価格で愛用したい方向けの制度で、登録条件として、紹介者がいること、満18歳以上の個人であること、日本国内在住であることが必須です。外国籍の方も登録可能です。本人確認書類の提出は必要ありません。最初から法人名義での登録はできません。,概要書面 P４「会員種別（会員制度）」
T02,terms,choice,1,Eosの商品には３種類のポイントがあります。PV（購入ポイント）BV（ビジネスポイント）Eポイント（1ポイント1円で商品と交換できるポイント）ポイントの説明として正しいものを選択してください。,,,,,Eポイントは定期便にも活用できる,JWティー1箱に、4400PV、4400BV、０Eポイントが付与されている,メインボーナスは、左右のPVの合計値により計算される,Eポイントは有効期限なしで使える,2,<b>各ポイント</b> は商品ごとに違います。JWティーは4400PV4400BVでEポイントはありません。　Eポイントは都度注文のみに利用できます。　メインボーナスを計算する時はBVを利用します。　Eポイントは、有効期限が1年となります。,概要書面 P21-22「ボーナスプランの理解のためによく使う用語の解説」
T09,terms,choice,1,EOS（ビジネス）会員の説明について誤っているものを、選択してください,,,,,EOS会員にステップアップする時に、概要書面の受け渡しが必須である。,EOS会員は満20歳以上で本人確認書類を提出することが必須条件である。,EOS会員に登録し1年間購入がないとポジションが削除される。,EOS会員は商品と会員制度を紹介することができ、実績に応じてボーナスを得ることができる,3,<b>EOS(ビジネス）会員</b> は会員価格で商品を購入し、商品と会員制度を紹介することができます。実績に応じてボーナスを得ることができます。条件をしては・UC会員であること・満20歳以上怠こと・日本国内に在住であること・本人確認書類を提出することとナゥっており、学生や公務員はEOS会員になることはできません。　有効期限は購入がなくても会員資格が削除されることはありません。,"概要書面Ver 17.0 P4
「会員種別（会員制度）　EOS会員」より"
T04,terms,choice,2,BC（ベースセンター）について正しい説明はどれですか？,,,,,必ず毎月自動で1つ増えるポジション,任意またはポジション指定で設置するもので、あなたのBCは直接紹介者人数に数えない,ボーナス振込先の銀行口座のこと,海外活動専用の系列名,2,<b>BC（ベースセンター）</b> は任意またはポジション指定で設置するもので、あなたのBCは直接紹介者の人数にはカウントされません。,概要書面 P21-22「ボーナスプランの理解のためによく使う用語の解説」および P17 アクティブボーナス注釈
T05,terms,choice,1,レギュラーアクティブとは何を満たした状態ですか？,,,,,"当該月にいずれかのポジションで8,000PV以上の購入実績がある状態",年間50万円以上のボーナス受取がある状態,直接紹介者が8名いる状態,"メインボーナス左右が24,000BVに達した状態",1,"<b>レギュラーアクティブ</b> とは、当該月に自分のいずれかのポジションで <b>8,000PV以上</b> の購入実績がある状態です。",概要書面 P17 / P21-22「ボーナスプランの理解のためによく使う用語の解説」
T06,terms,choice,2,「紹介者系列組織（スポンサー系列）」の理解として近いのはどれですか？,,,,,左右に分かれるメインボーナス専用の組織,実際に紹介したつながりで広がる階層型の系列,会社が自動で割り振る配送ルート,銀行振込の明細分類名,2,<b>紹介者系列組織（スポンサー系列）</b> は、実際に紹介したつながりで広がる階層型の系列として理解すると整理しやすいです。,概要書面 P21-22「ボーナスプランの理解のためによく使う用語の解説」
T07,terms,choice,2,「メインボーナス組織（バイナリー系列）」の理解として近いのはどれですか？,,,,,左右の組織構造でメインボーナス計算に使う系列,紹介者の家族だけで構成される系列,在庫保管場所の区分,支払調書の送付先分類,1,<b>メインボーナス組織（バイナリー系列）</b> は左右の組織構造をとり、メインボーナス計算で使われます。,概要書面 P21-22「ボーナスプランの理解のためによく使う用語の解説」
T08,terms,choice,2,「系列組織」には大きく分けて何種類ありますか？,,,,,1種類だけ,2種類（紹介者系列組織とメインボーナス組織）,3種類（国内・海外・法人）,4種類（BP・ABP・EBP・BM）,2,本アプリでは系列組織を <b>紹介者系列組織（スポンサー系列）</b> と <b>メインボーナス組織（バイナリー系列）</b> の2種類で整理しています。,概要書面 P21-22「ボーナスプランの理解のためによく使う用語の解説」
B01,basic,choice,1,"メインボーナス（バイナリーの左右）が累計ポイントに基づいて発生する際、左右それぞれBVがいくらに達するごとに3,000円が発生しますか？",,,,,"12,000BV","24,000BV","48,000BV","100,000BV",2,"メインボーナス組織（バイナリー系列）において、当該月に左右それぞれ累計ビジネスポイントが <b>24,000BV</b> に達するごとに 3,000円 が発生します。",概要書面 P23「メインボーナスが発生する累計ビジネスポイントと金額」
B02,basic,choice,1,メインボーナスを取得するポジションで購入実績がいくら以上必要ですか？,,,,,"1,000PV","5,000PV","8,000PV","20,000PV",3,"メインボーナスを取得するポジションで <b>8,000PV以上</b> の購入実績が必要です（「レギュラーアクティブ」要件）。",概要書面 P23、P17 アクティブボーナス取得条件
B03,basic,choice,2,ボーナス計算の対象となる「当該月度」の区切りはいつからいつまでですか？,,,,,前月1日〜末日,当該月1日〜末日,前月16日〜当月15日,当月1日〜当月25日,2,各種ボーナスは、<b>当該月1日から末日までの実績</b> に基づいて、当社が定めるボーナスプランにより計算します。,概要書面「ボーナス支払規定」
B04,basic,choice,1,ボーナスの振込日はいつですか？（土日祝日の場合）,,,,,当月25日,翌月25日（前営業日）,翌月末日,ボーナス発生から3営業日以内,2,当該月のボーナスは <b>翌月25日</b> に登録口座へお振込みします。土日祝日の場合は <b>前営業日</b> となります。,概要書面「ボーナス支払規定」
B05,basic,choice,2,"発生するボーナス（税抜額）が3,000円未満の場合の取り扱いは？",,,,,翌月に繰越さず消滅する,"累計金額が3,000円以上になった月にまとめて振込まれる",自動的にEポイントに変換される,年度末に一括精算される,2,"発生するボーナス（税抜額）が <b>3,000円未満</b> の場合は、累計金額が <b>3,000円以上</b> になった月にまとめてお振込みします。",概要書面「ボーナス支払規定」
B06,basic,choice,1,ボーナス支払事務手数料はどのくらい？（ゆうちょ銀行・税込）,,,,,330円,550円,770円,880円,3,ゆうちょ銀行の場合は <b>770円（税込）</b>、その他金融機関の場合は <b>880円（税込）</b> がボーナス支払事務手数料として必要です。,概要書面「ボーナス支払規定」
B07,basic,choice,1,月間ボーナス金額がいくらを超えると源泉徴収が行われますか？（個人）,,,,,5万円,10万円,12万円,50万円,3,ボーナス金額が月額で <b>12万円</b> を超える場合は源泉徴収を行います（法人登録の場合は適用されません）。,概要書面「ボーナス支払規定」
B08,basic,choice,1,年間のボーナス合計金額がいくらを超えると支払調書が作成・郵送されますか？,,,,,12万円,30万円,50万円,100万円,3,ボーナス金額が年間で <b>50万円を超えた方</b> に支払調書を作成し、登録住所へ郵送します。,概要書面「ボーナス支払規定」
B09,basic,choice,2,ボーナス取得の大前提となる2つの提出・受講要件は？（本人確認書類とセミナー）,,,,,「本人確認書類」の提出と「コンプライアンスセミナー」の受講,「会員登録申込書」の提出と「年会費の支払い」,「銀行口座」の登録と「住所証明書」の提出,「紹介者との面談」と「商品購入完了」,1,ボーナス取得条件には <b>「本人確認書類」</b> の提出（外国籍の方は在留カード等のコピー）と、<b>「コンプライアンスセミナー」</b> の受講が必要です。未提出・未受講の場合はボーナス支払額に制限がかかります。,概要書面「ボーナス取得条件」
B10,basic,numerical,2,"あなたがUC会員からEOS会員へステップアップした月、ステップアップ後に商品を購入しました。<br>EOS会員のボーナス取得条件（<b>8,000PV以上</b>）を満たすには、当該月にいくら以上の購入実績が必要ですか？",,PV,0,8000,,,,,,"メインボーナスおよびアクティブボーナスを取得するポジションでは、当該月に <b>8,000PV以上</b> の購入実績が必要です。","概要書面 P23「PV 8,000 以上」"
B11,basic,choice,2,ベースセンター（BC）で購入した商品は、アクティブボーナスの取得条件にカウントされますか？,,,,,される（直接紹介者と同様）,されない（あなたのBCはカウント対象外）,されるが上限が設定される,商品カテゴリによって異なる,2,<b>あなたのベースセンター（BC）の購入分</b> は、アクティブボーナスの取得条件にはカウントされません（直接紹介者の人数にも数えません）。,概要書面 P17 アクティブボーナス注釈
C01,calc,numerical,1,"アクティブボーナスを3口取得しました。ボーナス額はいくらですか？（1口 = 2,400円）","<b>1口 = 2,400円</b>（アクティブボーナス）",円,0,7200,,,,,,"<b>1口 取得で 2,400円</b> が支払われます。3口なら <b>2,400 × 3 = 7,200円</b>。",概要書面 P17「アクティブボーナス · ボーナス内容」
C02,calc,numerical,2,"アクティブボーナスを10口取得しました。ボーナス額はいくらですか？（1口 = 2,400円）","<b>1口 = 2,400円</b>",円,0,24000,,,,,,"2,400円 × 10口 = <b>24,000円</b>。",概要書面 P17「アクティブボーナス」
C03,calc,numerical,2,"メインボーナス組織の左右が、当該月にそれぞれ累計48,000BVに達しました。メインボーナス額はいくらですか？<br>（24,000BVごとに3,000円）",,円,0,6000,,,,,,"左右それぞれ48,000BV ÷ 24,000BV = 2セット → 2 × 3,000円 = <b>6,000円</b>。",概要書面 P23「メインボーナス · ボーナス内容」
C04,calc,numerical,3,"メインボーナス組織の左右が、それぞれ累計72,000BVに達しました。メインボーナス額はどうなりますか？",,円,0,9000,,,,,,"72,000BV ÷ 24,000BV = 3セット → 3 × 3,000円 = <b>9,000円</b>。ポイントの端数が余っても次月度に繰越されません。",概要書面 P23「メインボーナス · ボーナス内容」
